12/09/2016 17:15:39: Starting 
12/09/2016 23:15:29: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:15:59: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:16:30: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:17:00: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:17:31: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:18:01: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:18:32: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:19:03: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:19:33: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:20:04: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:20:34: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:21:05: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:21:35: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:22:06: Temp: 18.0 C  Humidity: 95.0 % 
